"Currency","Trans Type","Settle State","Tran #","Device","Location","Asset #","Date","Card Type","Amount","AP Code","Details"
"United States Dollars","Credit (EMV Contactless)","Settled",20110537874,"VJ300263628","Lazydays Snack","TBD","03/13/2025 11:59:17 AM","Visa (EMV Contactless)","$2.95","028875","110($1.00), 154($1.75), Two-Tier Pricing(2 * $0.10)"
"United States Dollars","Cash","Processed",20109197367,"VJ300263629","St. Monica's Snack","TBD","03/13/2025 08:41:16 AM","Cash","$1.50",,"142($1.50)"
"United States Dollars","Cash","Processed",20109669898,"VJ300263629","St. Monica's Snack","TBD","03/13/2025 10:01:56 AM","Cash","$1.00",,"144($1.00)"
"United States Dollars","Cash","Processed",20111349159,"VJ300263629","St. Monica's Snack","TBD","03/13/2025 01:46:57 PM","Cash","$1.00",,"112($1.00)"
"United States Dollars","Credit (Apple Pay Cash EMV)","Settled",20109569528,"VJ300263629","St. Monica's Snack","TBD","03/13/2025 09:45:52 AM","Visa (Apple Pay Cash EMV)","$1.10","201255","124($1.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20109818067,"VJ300263629","St. Monica's Snack","TBD","03/13/2025 10:24:29 AM","Visa (Apple Pay EMV)","$2.70","586600","110($1.00), 154($1.50), Two-Tier Pricing(2 * $0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20111623196,"VJ300263629","St. Monica's Snack","TBD","03/13/2025 02:24:07 PM","Visa (Apple Pay EMV)","$2.70","819361","126($1.00), 152($1.50), Two-Tier Pricing(2 * $0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20112558223,"VJ300263629","St. Monica's Snack","TBD","03/13/2025 05:00:16 PM","Visa (Apple Pay EMV)","$1.10","170008","144($1.00), Two-Tier Pricing($0.10)"
"United States Dollars","Cash","Processed",20109113041,"VJ300263630","Marlo Beverage","TBD","03/13/2025 08:24:37 AM","Cash","$1.00",,"D7($1.00)"
"United States Dollars","Cash","Processed",20110529455,"VJ300263630","Marlo Beverage","TBD","03/13/2025 11:57:26 AM","Cash","$2.00",,"B6($2.00)"
"United States Dollars","Cash","Processed",20110695348,"VJ300263630","Marlo Beverage","TBD","03/13/2025 12:17:07 PM","Cash","$2.00",,"C3($2.00)"
"United States Dollars","Cash","Processed",20111098466,"VJ300263630","Marlo Beverage","TBD","03/13/2025 01:11:32 PM","Cash","$1.75",,"D4($1.75)"
"United States Dollars","Cash","Processed",20111398697,"VJ300263630","Marlo Beverage","TBD","03/13/2025 01:53:54 PM","Cash","$1.00",,"D9($1.00)"
"United States Dollars","Cash","Processed",20111400360,"VJ300263630","Marlo Beverage","TBD","03/13/2025 01:54:07 PM","Cash","$1.00",,"D7($1.00)"
"United States Dollars","Credit","Settled",20110722064,"VJ300263630","Marlo Beverage","TBD","03/13/2025 12:20:22 PM","Visa (Swiped)","$2.85","122017","A3($2.75), Two-Tier Pricing($0.10)"
"United States Dollars","Credit","Settled",20110924397,"VJ300263630","Marlo Beverage","TBD","03/13/2025 12:48:07 PM","Visa (Swiped)","$4.20","024713","C7($2.00), C7($2.00), Two-Tier Pricing(2 * $0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20108663003,"VJ300263630","Marlo Beverage","TBD","03/13/2025 06:28:58 AM","Visa (Apple Pay EMV)","$2.85","003010","E6($2.75), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20109030432,"VJ300263630","Marlo Beverage","TBD","03/13/2025 08:07:08 AM","Visa (Apple Pay EMV)","$1.85","080704","A6($1.75), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20109047001,"VJ300263630","Marlo Beverage","TBD","03/13/2025 08:10:44 AM","Visa (Apple Pay EMV)","$2.10","081036","C3($2.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20109388006,"VJ300263630","Marlo Beverage","TBD","03/13/2025 09:14:06 AM","Visa (Apple Pay EMV)","$1.10","021410","C9($1.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20109525374,"VJ300263630","Marlo Beverage","TBD","03/13/2025 09:37:57 AM","Visa (Apple Pay EMV)","$2.10","093735","C2($2.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20109671652,"VJ300263630","Marlo Beverage","TBD","03/13/2025 10:01:54 AM","Visa (Apple Pay EMV)","$2.85","211176","E2($2.75), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20109875728,"VJ300263630","Marlo Beverage","TBD","03/13/2025 10:33:02 AM","Visa (Apple Pay EMV)","$1.60","103254","D1($1.50), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20110032984,"VJ300263630","Marlo Beverage","TBD","03/13/2025 10:55:51 AM","Visa (Apple Pay EMV)","$2.10","105547","C4($2.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20111331996,"VJ300263630","Marlo Beverage","TBD","03/13/2025 01:44:29 PM","Visa (Apple Pay EMV)","$2.85","023457","A3($2.75), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20112347117,"VJ300263630","Marlo Beverage","TBD","03/13/2025 04:19:36 PM","Visa (Apple Pay EMV)","$1.10","311056","D8($1.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20108706979,"VJ300263630","Marlo Beverage","TBD","03/13/2025 06:45:14 AM","Visa (EMV Contactless)","$2.10","064508","C6($2.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20108971195,"VJ300263630","Marlo Beverage","TBD","03/13/2025 07:56:35 AM","Visa (EMV Contactless)","$1.10","075628","C9($1.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20109138760,"VJ300263630","Marlo Beverage","TBD","03/13/2025 08:29:53 AM","Visa (EMV Contactless)","$2.85","188666","E3($2.75), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20109578046,"VJ300263630","Marlo Beverage","TBD","03/13/2025 09:47:16 AM","Visa (EMV Contactless)","$4.20","094707","B4($2.00), C6($2.00), Two-Tier Pricing(2 * $0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20110517359,"VJ300263630","Marlo Beverage","TBD","03/13/2025 11:55:40 AM","Visa (EMV Contactless)","$2.10","115536","B5($2.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20110543206,"VJ300263630","Marlo Beverage","TBD","03/13/2025 11:59:32 AM","Visa (EMV Contactless)","$2.10","115926","C8($2.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20110768197,"VJ300263630","Marlo Beverage","TBD","03/13/2025 12:26:39 PM","Visa (EMV Contactless)","$3.70","250158","C5($2.00), D2($1.50), Two-Tier Pricing(2 * $0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20111776211,"VJ300263630","Marlo Beverage","TBD","03/13/2025 02:46:18 PM","Visa (EMV Contactless)","$2.10","144610","C3($2.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20111988552,"VJ300263630","Marlo Beverage","TBD","03/13/2025 03:18:09 PM","Visa (EMV Contactless)","$2.10","294590","C5($2.00), Two-Tier Pricing($0.10)"
"United States Dollars","Cash","Processed",20107919055,"VJ300263631","St. Monica's Beverage","TBD","03/12/2025 10:38:57 PM","Cash","$2.00",,"B5($2.00)"
"United States Dollars","Cash","Processed",20109666771,"VJ300263631","St. Monica's Beverage","TBD","03/13/2025 10:01:36 AM","Cash","$1.75",,"E3($1.75)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20107737050,"VJ300263631","St. Monica's Beverage","TBD","03/12/2025 09:24:47 PM","Visa (Apple Pay EMV)","$2.10","212444","B3($2.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20108406996,"VJ300263631","St. Monica's Beverage","TBD","03/13/2025 04:05:37 AM","Visa (Apple Pay EMV)","$1.85","160258","E1($1.75), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20109813995,"VJ300263631","St. Monica's Beverage","TBD","03/13/2025 10:23:44 AM","Visa (Apple Pay EMV)","$2.10","557726","C1($2.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20111905315,"VJ300263631","St. Monica's Beverage","TBD","03/13/2025 03:05:08 PM","Visa (Apple Pay EMV)","$3.20","150453","E8($1.00), B3($2.00), Two-Tier Pricing(2 * $0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20112378256,"VJ300263631","St. Monica's Beverage","TBD","03/13/2025 04:25:20 PM","Visa (Apple Pay EMV)","$2.10","162517","B2($2.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20112643620,"VJ300263631","St. Monica's Beverage","TBD","03/13/2025 05:16:54 PM","Visa (Apple Pay EMV)","$2.10","09557D","B1($2.00), Two-Tier Pricing($0.10)"
"United States Dollars","Cash","Processed",20107599100,"VJ300263632","Educators Snack","TBD","03/12/2025 08:37:46 PM","Cash","$1.00",,"124($1.00)"
"United States Dollars","Cash","Processed",20110172325,"VJ300263632","Educators Snack","TBD","03/13/2025 11:11:39 AM","Cash","$1.00",,"144($1.00)"
"United States Dollars","Cash","Processed",20110443756,"VJ300263632","Educators Snack","TBD","03/13/2025 11:46:19 AM","Cash","$1.00",,"112($1.00)"
"United States Dollars","Cash","Processed",20111526520,"VJ300263632","Educators Snack","TBD","03/13/2025 02:10:42 PM","Cash","$1.00",,"126($1.00)"
"United States Dollars","Cash","Processed",20111529297,"VJ300263632","Educators Snack","TBD","03/13/2025 02:11:10 PM","Cash","$1.00",,"126($1.00)"
"United States Dollars","Credit","Settled",20111876297,"VJ300263632","Educators Snack","TBD","03/13/2025 03:01:18 PM","Visa (Swiped)","$2.10","150112","155($2.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20109279342,"VJ300263632","Educators Snack","TBD","03/13/2025 08:56:48 AM","Visa (Apple Pay EMV)","$1.60","085643","142($1.50), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20109909592,"VJ300263632","Educators Snack","TBD","03/13/2025 10:37:51 AM","Visa (Apple Pay EMV)","$2.70","103729","151($1.50), 128($1.00), Two-Tier Pricing(2 * $0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20110885083,"VJ300263632","Educators Snack","TBD","03/13/2025 12:42:34 PM","Visa (Apple Pay EMV)","$1.60","124229","142($1.50), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20111420383,"VJ300263632","Educators Snack","TBD","03/13/2025 01:56:38 PM","Visa (Apple Pay EMV)","$2.20","135619","120($1.00), 136($1.00), Two-Tier Pricing(2 * $0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20112339607,"VJ300263632","Educators Snack","TBD","03/13/2025 04:18:11 PM","American Express (Apple Pay EMV)","$3.20","847426","114($1.00), 157($2.00), Two-Tier Pricing(2 * $0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20109145631,"VJ300263632","Educators Snack","TBD","03/13/2025 08:31:05 AM","Visa (EMV Contactless)","$2.10","083059","152($2.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20109214101,"VJ300263632","Educators Snack","TBD","03/13/2025 08:44:44 AM","Visa (EMV Contactless)","$1.60","084438","142($1.50), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20109274090,"VJ300263632","Educators Snack","TBD","03/13/2025 08:56:01 AM","Visa (EMV Contactless)","$3.70","085539","134($1.50), 138($2.00), Two-Tier Pricing(2 * $0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20109304362,"VJ300263632","Educators Snack","TBD","03/13/2025 09:00:48 AM","Visa (EMV Contactless)","$1.10","090034","128($1.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20109676864,"VJ300263632","Educators Snack","TBD","03/13/2025 10:02:20 AM","Visa (EMV Contactless)","$1.10","100217","162($1.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20109949686,"VJ300263632","Educators Snack","TBD","03/13/2025 10:43:57 AM","Visa (EMV Contactless)","$1.10","104351","130($1.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20110479089,"VJ300263632","Educators Snack","TBD","03/13/2025 11:50:44 AM","Visa (EMV Contactless)","$1.10","01146C","144($1.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20110668850,"VJ300263632","Educators Snack","TBD","03/13/2025 12:13:16 PM","Visa (EMV Contactless)","$2.10","121310","156($2.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20111139719,"VJ300263632","Educators Snack","TBD","03/13/2025 01:17:24 PM","Visa (EMV Contactless)","$1.60","131704","150($1.50), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20111344033,"VJ300263632","Educators Snack","TBD","03/13/2025 01:45:57 PM","Visa (EMV Contactless)","$1.60","134553","134($1.50), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20111521687,"VJ300263632","Educators Snack","TBD","03/13/2025 02:09:40 PM","Visa (EMV Contactless)","$1.10","140937","120($1.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20111970216,"VJ300263632","Educators Snack","TBD","03/13/2025 03:15:22 PM","Visa (EMV Contactless)","$1.10","151519","132($1.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20112041987,"VJ300263632","Educators Snack","TBD","03/13/2025 03:27:01 PM","Visa (EMV Contactless)","$2.20","152651","148($1.00), 136($1.00), Two-Tier Pricing(2 * $0.10)"
"United States Dollars","Cash","Processed",20108916530,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 07:43:57 AM","Cash","$3.00",,"D8($3.00)"
"United States Dollars","Cash","Processed",20109381701,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 09:13:09 AM","Cash","$3.00",,"D3($3.00)"
"United States Dollars","Cash","Processed",20109979445,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 10:48:28 AM","Cash","$3.00",,"E3($3.00)"
"United States Dollars","Credit","Settled",20108637918,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 06:18:45 AM","Visa (Swiped)","$3.10","278429","D6($3.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit","Settled",20108639548,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 06:19:44 AM","Visa (Swiped)","$3.10","045676","C2($3.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit","Settled",20109533436,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 09:39:10 AM","MasterCard (Swiped)","$3.10","503521","E1($3.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit","Settled",20110404762,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 11:40:58 AM","Visa (Swiped)","$2.10","238991","A3($2.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit","Settled",20110636135,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 12:09:11 PM","Visa (Swiped)","$3.60","060913","C4($3.50), Two-Tier Pricing($0.10)"
"United States Dollars","Credit","Settled",20110650266,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 12:11:04 PM","Visa (Swiped)","$4.70","065752","D8($3.00), A1($1.50), Two-Tier Pricing(2 * $0.10)"
"United States Dollars","Credit","Settled",20110708357,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 12:18:20 PM","MasterCard (Swiped)","$4.70","04241P","B4($1.00), C4($3.50), Two-Tier Pricing(2 * $0.10)"
"United States Dollars","Credit","Settled",20112301766,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 04:10:55 PM","MasterCard (Swiped)","$3.10","658551","E1($3.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay Cash EMV)","Settled",20111580582,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 02:18:06 PM","Visa (Apple Pay Cash EMV)","$2.20","291042","C8($1.00), C8($1.00), Two-Tier Pricing(2 * $0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20108635337,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 06:17:57 AM","Visa (Apple Pay EMV)","$2.85","061751","A9($2.75), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20108654244,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 06:25:34 AM","Visa (Apple Pay EMV)","$3.10","167711","D6($3.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20108726944,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 06:51:52 AM","Visa (Apple Pay EMV)","$3.10","085107","D7($3.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20108834273,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 07:21:56 AM","MasterCard (Apple Pay EMV)","$3.10","013982","D7($3.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20109358887,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 09:09:01 AM","MasterCard (Apple Pay EMV)","$3.10","090858","D8($3.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20109460609,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 09:26:45 AM","MasterCard (Apple Pay EMV)","$3.10","013394","D7($3.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20109689636,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 10:04:19 AM","MasterCard (Apple Pay EMV)","$3.10","12049Z","E9($3.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20110008257,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 10:52:26 AM","Visa (Apple Pay EMV)","$3.10","070581","D6($3.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20110389677,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 11:38:56 AM","Visa (Apple Pay EMV)","$3.60","013812","C4($3.50), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20111044832,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 01:04:00 PM","Visa (Apple Pay EMV)","$2.10","22028D","B2($2.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20108554113,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 05:44:30 AM","MasterCard (EMV Contactless)","$3.10","02801Z","D6($3.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20108703765,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 06:44:14 AM","Visa (EMV Contactless)","$3.10","064409","C2($3.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20108706845,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 06:45:06 AM","Visa (EMV Contactless)","$3.10","064500","C2($3.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20108720830,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 06:49:59 AM","MasterCard (EMV Contactless)","$3.10","064947","D7($3.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20108848340,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 07:26:00 AM","Visa (EMV Contactless)","$3.10","175558","D7($3.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20108965787,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 07:55:30 AM","Visa (EMV Contactless)","$1.10","075529","C8($1.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20109441095,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 09:23:35 AM","Visa (EMV Contactless)","$3.10","092331","E6($3.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20109468549,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 09:28:29 AM","Visa (EMV Contactless)","$3.60","202934","C5($3.50), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20109604451,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 09:51:44 AM","Visa (EMV Contactless)","$2.20","208907","A7($1.00), A7($1.00), Two-Tier Pricing(2 * $0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20109679733,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 10:03:05 AM","Visa (EMV Contactless)","$3.10","000302","E1($3.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20109815988,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 10:24:10 AM","MasterCard (EMV Contactless)","$3.70","002358","B3($2.00), A1($1.50), Two-Tier Pricing(2 * $0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20110235567,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 11:19:47 AM","Visa (EMV Contactless)","$3.60","111940","C4($3.50), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20110341154,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 11:33:01 AM","MasterCard (EMV Contactless)","$2.10","013256","A4($2.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20110345998,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 11:33:35 AM","MasterCard (EMV Contactless)","$3.10","013329","E1($3.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20110489321,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 11:52:19 AM","MasterCard (EMV Contactless)","$3.10","015217","E4($3.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20110528658,"VJ300384227","Break Box - Beverage","TBD","03/13/2025 11:57:12 AM","Visa (EMV Contactless)","$4.70","015701","C6($3.50), A7($1.00), Two-Tier Pricing(2 * $0.10)"
